Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
4 Speed Automatic Select Shift,Hyundai 2.4L 4 Cylinder 160 hp 157 ft-lbs,160,157,FALSE,4,Front-wheel drive,Mitsubishi,2010 Mitsubishi Galant,2010 Mitsubishi Galant SE,Automatic transmission,2010,46,245,193,30,21,Gasoline
6 Speed Manual,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Sedan,2011 Cadillac CTS-V Sedan,Manual transmission,2011,49,251,175,19,14,Gasoline
6 Speed Automatic,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Sedan,2011 Cadillac CTS-V Sedan AT,Automatic transmission,2011,49,251,175,18,12,Gasoline
5 Speed Manual,Mitsubishi 2.0L 4 Cylinder 148 hp 146 ft-lbs,148,146,FALSE,5,Front-wheel drive,Mitsubishi,2011 Mitsubishi Lancer,2011 Mitsubishi Lancer ES,Manual transmission,2011,226,220,210,33,24,Gasoline
5 Speed Manual,Mitsubishi 2.0L 4 Cylinder 148 hp 146 ft-lbs,148,146,FALSE,5,Front-wheel drive,Mitsubishi,2011 Mitsubishi Lancer,2011 Mitsubishi Lancer DE,Manual transmission,2011,226,220,210,33,24,Gasoline
5 Speed Manual,Mitsubishi 2.4L 4 Cylinder 168 hp 167 ft-lbs,168,167,FALSE,5,Front-wheel drive,Mitsubishi,2011 Mitsubishi Lancer,2011 Mitsubishi Lancer GTS,Manual transmission,2011,226,220,210,31,22,Gasoline
5 Speed Manual,Mitsubishi 2.0L 4 Cylinder 152 hp 146 ft-lbs,152,146,FALSE,5,Front-wheel drive,Mitsubishi,2010 Mitsubishi Lancer,2010 Mitsubishi Lancer DE,Manual transmission,2010,226,220,210,31,22,Gasoline
5 Speed Manual,Mitsubishi 2.4L 4 Cylinder 168 hp 167 ft-lbs,168,167,FALSE,5,Front-wheel drive,Mitsubishi,2010 Mitsubishi Lancer,2010 Mitsubishi Lancer GTS,Manual transmission,2010,226,220,210,28,20,Gasoline
5 Speed Manual,Mitsubishi 2.0L 4 Cylinder 152 hp 146 ft-lbs,152,146,FALSE,5,Front-wheel drive,Mitsubishi,2010 Mitsubishi Lancer,2010 Mitsubishi Lancer ES,Manual transmission,2010,226,220,210,31,22,Gasoline
6 Speed Automatic Select Shift,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,260,257,FALSE,6,All-wheel drive,Hyundai,2011 Hyundai Veracruz,2011 Hyundai Veracruz Limited AWD,Automatic transmission,2010,153,233,13,21,16,Gasoline
6 Speed Manual,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2010 Cadillac CTS-V Sedan,2010 Cadillac CTS-V Sedan,Manual transmission,2010,49,2,175,19,14,Gasoline
6 Speed Automatic,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2010 Cadillac CTS-V Sedan,2010 Cadillac CTS-V Sedan AT,Automatic transmission,2010,49,2,175,18,12,Gasoline
6 Speed Automatic,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Coupe,2011 Cadillac CTS-V Coupe AT,Automatic transmission,2011,90,200,142,18,12,Gasoline
6 Speed Manual,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Coupe,2011 Cadillac CTS-V Coupe,Manual transmission,2011,90,200,142,19,14,Gasoline
6 Speed Manual,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Wagon,2011 Cadillac CTS-V Wagon,Manual transmission,2011,49,12,193,19,14,Gasoline
6 Speed Automatic,Cadillac 6.2L 8 Cylinder 556 hp 551 ft-lbs S-charged,556,551,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS-V Wagon,2011 Cadillac CTS-V Wagon AT,Automatic transmission,2011,49,12,193,18,12,Gasoline
6 Speed Manual,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan,Manual transmission,2011,49,251,193,26,16,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan AT,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,All-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan AWD,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Manual,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Luxury,Manual transmission,2011,49,251,193,26,16,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Luxury AT,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Performance,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,All-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Performance AWD,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Manual,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,304,273,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan 3.6L Performance,Manual transmission,2011,49,251,193,25,16,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,304,273,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan 3.6L Performance AT,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2010 Cadillac CTS Sport Sedan,2010 Cadillac CTS Sport Sedan Luxury AT,Automatic transmission,2010,49,2,223,27,18,Gasoline
6 Speed Manual,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,304,273,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Premium,Manual transmission,2011,49,251,193,25,16,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,304,273,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Premium AT,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Automatic Select Shift,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,304,273,FALSE,6,All-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan Premium AWD,Automatic transmission,2011,49,251,193,27,18,Gasoline
6 Speed Manual,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,270,223,FALSE,6,Rear-wheel drive,Cadillac,2011 Cadillac CTS Sport Sedan,2011 Cadillac CTS Sport Sedan,Manual transmission,2010,49,251,193,26,16,Gasoline
6 Speed Automatic Select Shift,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,310,327,FALSE,6,Rear-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia SR5,Automatic transmission,2011,237,89,163,20,14,Gasoline
6 Speed Automatic Select Shift,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,310,327,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia SR5 4x4,Automatic transmission,2011,237,89,163,19,14,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia SR5 5.7L 4x4,Automatic transmission,2011,237,89,163,18,13,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia SR5 FFV,Automatic transmission,2011,237,89,163,17,12,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,381,401,FALSE,6,Rear-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Limited,Automatic transmission,2011,237,89,163,18,14,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Limited 4x4,Automatic transmission,2011,237,89,163,18,13,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Limited FFV,Automatic transmission,2011,237,89,163,17,12,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,381,401,FALSE,6,Rear-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Platinum,Automatic transmission,2011,237,89,163,18,14,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Platinum 4x4,Automatic transmission,2011,237,89,163,18,13,Gasoline
6 Speed Automatic Select Shift,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,381,401,FALSE,6,Four-wheel drive,Toyota,2011 Toyota Sequoia,2011 Toyota Sequoia Platinum FFV,Automatic transmission,2011,237,89,163,17,12,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2010 BMW 3 Series Convertible,2010 BMW 328i Convertible,Manual transmission,2010,247,227,104,26,17,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2010 BMW 3 Series Convertible,2010 BMW 335i Convertible AT,Automatic transmission,2010,247,227,104,26,17,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2010 BMW 3 Series Convertible,2010 BMW 335i Convertible,Manual transmission,2010,247,227,104,26,17,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2010 BMW 3 Series Convertible,2010 BMW 328i Convertible AT,Automatic transmission,2010,247,227,104,27,18,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,Rear-wheel drive,Infiniti,2009 Infiniti EX,2009 Infiniti EX35,Automatic transmission,2009,11,22,54,24,17,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,All-wheel drive,Infiniti,2009 Infiniti EX,2009 Infiniti EX35 AWD,Automatic transmission,2009,11,22,54,23,16,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,Rear-wheel drive,Infiniti,2009 Infiniti EX,2009 Infiniti EX35 Journey,Automatic transmission,2009,11,22,54,24,17,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,All-wheel drive,Infiniti,2009 Infiniti EX,2009 Infiniti EX35 Journey AWD,Automatic transmission,2009,11,22,54,23,16,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,382,391,FALSE,7,Rear-wheel drive,Mercedes,2011 Mercedes-Benz E-Class Cabriolet,2011 Mercedes-Benz E550 Cabriolet,Automatic transmission,2011,249,91,117,22,15,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,268,258,FALSE,7,Rear-wheel drive,Mercedes,2011 Mercedes-Benz E-Class Cabriolet,2011 Mercedes-Benz E350 Cabriolet,Automatic transmission,2011,249,91,117,25,17,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2011 BMW 3 Series Convertible,2011 BMW 328i Convertible,Manual transmission,2011,247,12,104,26,17,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2011 BMW 3 Series Convertible,2011 BMW 335i Convertible AT,Automatic transmission,2011,247,12,104,28,19,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2011 BMW 3 Series Convertible,2011 BMW 328i Convertible AT,Automatic transmission,2011,247,12,104,27,18,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 320 hp 332 ft-lbs Turbo,320,332,FALSE,6,Rear-wheel drive,BMW,2011 BMW 3 Series Convertible,2011 BMW 335is Convertible,Manual transmission,2011,247,12,91,26,18,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2011 BMW 3 Series Convertible,2011 BMW 335i Convertible,Manual transmission,2011,247,12,104,28,19,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,Rear-wheel drive,Infiniti,2010 Infiniti EX,2010 Infiniti EX35,Automatic transmission,2010,11,22,36,24,17,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,All-wheel drive,Infiniti,2010 Infiniti EX,2010 Infiniti EX35 AWD,Automatic transmission,2010,11,22,36,23,16,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,Rear-wheel drive,Infiniti,2010 Infiniti EX,2010 Infiniti EX35 Journey,Automatic transmission,2010,11,22,36,24,17,Gasoline
5 Speed Automatic,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,297,253,FALSE,5,All-wheel drive,Infiniti,2010 Infiniti EX,2010 Infiniti EX35 Journey AWD,Automatic transmission,2010,11,22,36,23,16,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,382,391,FALSE,7,Rear-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Coupe,2010 Mercedes-Benz E550 Coupe,Automatic transmission,2010,249,91,117,23,15,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,268,258,FALSE,7,Rear-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Coupe,2010 Mercedes-Benz E350 Coupe,Automatic transmission,2010,249,91,117,26,17,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,268,258,FALSE,7,Rear-wheel drive,Mercedes,2011 Mercedes-Benz E-Class Coupe,2011 Mercedes-Benz E350 Coupe,Automatic transmission,2011,249,91,111,26,17,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,382,391,FALSE,7,Rear-wheel drive,Mercedes,2011 Mercedes-Benz E-Class Coupe,2011 Mercedes-Benz E550 Coupe,Automatic transmission,2011,249,91,111,23,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 1LT,Manual transmission,2010,52,82,223,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 1LT AT,Automatic transmission,2010,52,82,223,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 2LT,Manual transmission,2010,52,82,223,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 2LT AT,Automatic transmission,2010,52,82,223,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 3LT,Manual transmission,2010,52,82,223,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 3LT AT,Automatic transmission,2010,52,82,223,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 4LT,Manual transmission,2010,52,82,223,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette Coupe,2010 Chevrolet Corvette Coupe 4LT AT,Automatic transmission,2010,52,82,223,25,15,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,268,258,FALSE,7,All-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Sedan,2010 Mercedes-Benz E350 4Matic Sedan,Automatic transmission,2010,62,5,185,24,17,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,382,391,FALSE,7,All-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Sedan,2010 Mercedes-Benz E550 4Matic Sedan,Automatic transmission,2010,135,5,185,23,15,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,382,391,FALSE,7,Rear-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Sedan,2010 Mercedes-Benz E550 Sedan,Automatic transmission,2010,135,5,185,24,16,Gasoline
7 Speed Automatic Select Shift,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,268,258,FALSE,7,Rear-wheel drive,Mercedes,2010 Mercedes-Benz E-Class Sedan,2010 Mercedes-Benz E350 Sedan,Automatic transmission,2010,62,5,185,26,18,Gasoline
7 Speed Automatic Select Shift,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,518,465,FALSE,7,Rear-wheel drive,AMG,2010 Mercedes-Benz E-Class Sedan,2010 Mercedes-Benz E63 AMG,Automatic transmission,2010,183,22,162,20,13,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2010 BMW 3 Series Coup,2010 BMW 328i Coup,Manual transmission,2010,247,247,94,28,18,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,All-wheel drive,BMW,2010 BMW 3 Series Coup,2010 BMW 335i xDrive Coup AT,Automatic transmission,2010,247,247,114,25,17,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,All-wheel drive,BMW Motorrad,2010 BMW 3 Series Coup,2010 BMW 328i xDrive Coup,Manual transmission,2010,247,247,114,25,17,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2010 BMW 3 Series Coup,2010 BMW 335i Coup AT,Automatic transmission,2010,247,247,94,26,17,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,Rear-wheel drive,BMW,2010 BMW 3 Series Coup,2010 BMW 335i Coup,Manual transmission,2010,247,247,94,26,17,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,Rear-wheel drive,BMW Motorrad,2010 BMW 3 Series Coup,2010 BMW 328i Coup AT,Automatic transmission,2010,247,247,94,28,18,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,230,200,FALSE,6,All-wheel drive,BMW Motorrad,2010 BMW 3 Series Coup,2010 BMW 328i xDrive Coup AT,Automatic transmission,2010,247,247,114,25,17,Gasoline
6 Speed Manual,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,All-wheel drive,BMW,2010 BMW 3 Series Coup,2010 BMW 335i xDrive Coup,Manual transmission,2010,247,247,114,25,16,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette ZR1,2012 Chevrolet Corvette ZR1 1ZR,Manual transmission,2012,135,123,212,21,14,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette ZR1,2012 Chevrolet Corvette ZR1 3ZR,Manual transmission,2012,135,123,212,21,14,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Corvette ZR1,2011 Chevrolet Corvette ZR1 1ZR,Manual transmission,2011,135,123,212,20,14,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Corvette ZR1,2011 Chevrolet Corvette ZR1 3ZR,Manual transmission,2011,135,123,212,20,14,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette ZR1,2010 Chevrolet Corvette ZR1 1ZR,Manual transmission,2010,135,123,212,20,14,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,638,604,FALSE,6,Rear-wheel drive,Chevrolet,2010 Chevrolet Corvette ZR1,2010 Chevrolet Corvette ZR1 3ZR,Manual transmission,2010,135,123,212,20,14,Gasoline
6 Speed Manual,Nissan 2.5L 4 cylinder 200 hp 180 ft-lbs,200,180,FALSE,6,Front-wheel drive,Nissan,2011 Nissan Sentra,2011 Nissan Sentra SE-R Spec V,Manual transmission,2011,254,222,221,28,21,Gasoline
6 Speed Manual,Nissan 2.0L 4 cylinder 140 hp 147 ft-lbs,140,147,FALSE,6,Front-wheel drive,Nissan,2011 Nissan Sentra,2011 Nissan Sentra 2.0,Manual transmission,2011,254,214,231,31,24,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 1LT,Manual transmission,2012,135,108,212,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 1LT AT,Automatic transmission,2012,135,108,212,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 2LT,Manual transmission,2012,135,108,212,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 2LT AT,Automatic transmission,2012,135,108,212,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 3LT,Manual transmission,2012,135,108,212,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 3LT AT,Automatic transmission,2012,135,108,212,25,15,Gasoline
6 Speed Manual,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 4LT,Manual transmission,2012,135,108,212,26,16,Gasoline
6 Speed Automatic,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,430,424,FALSE,6,Rear-wheel drive,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012 Chevrolet Corvette Grand Sport Coupe 4LT AT,Automatic transmission,2012,135,108,212,25,15,Gasoline
6 Speed Automatic Select Shift,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,300,300,FALSE,6,All-wheel drive,BMW,2011 BMW 3 Series Coup,2011 BMW 335i xDrive Coup AT,Automatic transmission,2011,247,12,114,27,18,Gasoline
